Timestamp,PM2.5_Fidas200,LCS3*,PM2.5_BAM1020,LCS4*
2020-04-10T18:00:00Z,24.51166667,29.90934191,21,15.63533389
2020-04-10T19:00:00Z,27.195,31.74210493,21,14.21824767
2020-04-10T20:00:00Z,30.03,34.06867406,23,15.554384
2020-04-10T21:00:00Z,25.49666667,31.44876667,20,15.23002871
2020-04-10T22:00:00Z,21.3,30.12964616,27,15.69998266
2020-04-10T23:00:00Z,22.20166667,32.53766474,18,14.61892185
2020-04-11T00:00:00Z,22.00333333,30.71872709,17,15.90111217
2020-04-11T01:00:00Z,21.14,28.78738318,18,14.73922908
2020-04-11T02:00:00Z,22.85166667,30.09568384,15,12.84409438
2020-04-11T03:00:00Z,23.9,31.284365,12,12.55557788
2020-04-11T04:00:00Z,25.37833333,34.08219887,13,14.21907782
2020-04-11T05:00:00Z,26.38833333,35.66670636,15,16.63538094
2020-04-11T06:00:00Z,27.49833333,35.7048764,16,19.5843
2020-04-11T07:00:00Z,27.88833333,34.35089191,21,21.53374691
2020-04-11T08:00:00Z,29.38166667,34.67759139,23,23.21786622
2020-04-11T09:00:00Z,34.17166667,37.5813745,23,24.99100933
2020-04-11T10:00:00Z,37.05166667,39.67876827,24,29.68427627
2020-04-11T11:00:00Z,49.61333333,48.45336917,27,31.80913959
2020-04-11T12:00:00Z,48.345,44.94833763,28,30.77509732
2020-04-11T13:00:00Z,22.67833333,27.81990792,26,26.64618649
2020-04-11T14:00:00Z,13.36,16.97060004,19,13.102588130000001
2020-04-11T15:00:00Z,6.746666667,6.768680087,15,8.08309789
2020-04-11T16:00:00Z,6.408333333,7.429893376,8,4.731920517
2020-04-11T17:00:00Z,7.766666667,9.760970773,4,4.530647643
2020-04-11T18:00:00Z,7.448333333,9.957531451,3,5.389742165
2020-04-11T19:00:00Z,8.87,13.84246008,3,13.62708286
2020-04-11T20:00:00Z,7.715,12.15185792,14,7.885515386
2020-04-11T21:00:00Z,9.233333333,16.1783463,11,10.50127872
2020-04-11T22:00:00Z,11.105,20.46360952,13,11.70334599
2020-04-11T23:00:00Z,20.885,34.06055917,9,13.02845096
2020-04-12T00:00:00Z,20.335,34.58622373,11,13.15902602
2020-04-12T01:00:00Z,19.54833333,33.84957202,11,13.34674821
2020-04-12T02:00:00Z,16.075,29.43086393,11,13.62825817
2020-04-12T03:00:00Z,15.92333333,28.74199991,12,15.91299592
2020-04-12T04:00:00Z,17.57,30.64960025,12,19.48888223
2020-04-12T05:00:00Z,17.35,29.6752123,21,18.94898301
2020-04-12T06:00:00Z,17.02166667,29.63944667,17,18.25914914
2020-04-12T07:00:00Z,18.22833333,30.38751934,18,24.23464236
2020-04-12T08:00:00Z,19.00833333,28.91481702,21,20.5688316
2020-04-12T09:00:00Z,17.69666667,26.91284351,14,21.93831114
2020-04-12T10:00:00Z,16.27333333,25.17655752,18,21.56486724
2020-04-12T11:00:00Z,15.97833333,24.1679067,15,14.42812462
2020-04-12T12:00:00Z,13.38666667,19.35126844,13,10.22888645
2020-04-12T13:00:00Z,11.74333333,16.99945299,13,5.925696693
2020-04-12T14:00:00Z,13.01666667,19.20550096,8,4.681420252
2020-04-12T15:00:00Z,17.11833333,24.88772753,5,2.402156666
2020-04-12T16:00:00Z,13.725,19.70712141,3,2.180980071
2020-04-12T17:00:00Z,9.066666667,13.18094624,5,4.57947436
2020-04-12T18:00:00Z,5.455,4.798565035,4,3.727600177
2020-04-12T19:00:00Z,6.041666667,5.045017261,6,3.255886797
2020-04-12T20:00:00Z,7.265,2.973015253,9,2.690476597
2020-04-12T21:00:00Z,6.711666667,1.398726521,6,2.102129565
2020-04-12T22:00:00Z,5.353333333,1.132437896,6,2.723548117
2020-04-12T23:00:00Z,2.911666667,-0.152419747,5,3.808083776
2020-04-13T00:00:00Z,7.055,1.099377231,8,3.537122326
2020-04-13T01:00:00Z,7.911666667,1.245144706,9,3.65007758
2020-04-13T02:00:00Z,8.053333333,1.32028258,7,2.823679934
2020-04-13T03:00:00Z,7.835,1.176318414,6,2.874889221
2020-04-13T04:00:00Z,7.665,1.564630946,4,2.578294383
2020-04-13T05:00:00Z,7.598333333,1.544280701,4,2.852296325
2020-04-13T06:00:00Z,7.186666667,1.245144706,6,3.602512057
2020-04-13T07:00:00Z,7.265,1.522553737,7,3.547495768
2020-04-13T08:00:00Z,8.571666667,2.0425078229999998,8,2.990293759
2020-04-13T09:00:00Z,8.295,2.330736707,5,3.140069905
2020-04-13T10:00:00Z,8.211666667,2.163630076,5,3.420152829
2020-04-13T11:00:00Z,7.65,2.396557485,8,3.227030517
2020-04-13T12:00:00Z,7.853333333,2.646616329,7,3.301394808
2020-04-13T13:00:00Z,7.955,3.430454629,5,3.291494047
2020-04-13T14:00:00Z,8.228333333,3.504991399,2,2.955494184
2020-04-13T15:00:00Z,7.883333333,3.548270815,4,2.894161045
2020-04-13T16:00:00Z,9.043333333,4.826215773,9,2.9456573
2020-04-13T17:00:00Z,8.378333333,3.800734071,7,4.203347674
2020-04-13T18:00:00Z,8.49,3.843712935,5,3.856661377
2020-04-13T19:00:00Z,8.245,4.103990529,2,3.893622938
2020-04-13T20:00:00Z,8.843333333,5.402072438,2,3.387091624
2020-04-13T21:00:00Z,9.536666667,6.515615727,6,3.555275849
2020-04-13T22:00:00Z,9.101666667,6.165172684,7,3.435534139
2020-04-13T23:00:00Z,8.351666667,5.26982978,5,3.578245613
2020-04-14T00:00:00Z,7.25,4.487794789,8,4.209728874
2020-04-14T01:00:00Z,7.666666667,5.180265434,7,3.790377385
